# Bearings,Reorientation_Speeds
6.017456546450029009e+01,0.000000000000000000e+00
6.211155461465645544e+01,0.000000000000000000e+00
7.101101028574314000e+01,0.000000000000000000e+00
7.310539608498194752e+01,-6.000000000000028422e+00
7.524732024589974344e+01,-6.000000000000028422e+00
7.780986361389594208e+01,-6.000000000000028422e+00
7.998794785969170107e+01,-6.000000000000028422e+00
9.980840451749473630e+01,-6.000000000000028422e+00
1.018022562530532440e+02,-2.400000000000001421e+01
1.037675387346977942e+02,-2.400000000000001421e+01
1.057003454105779241e+02,-2.400000000000001421e+01
1.075971922525973952e+02,-2.400000000000001421e+01
1.094550378248423073e+02,-1.799999999999998579e+01
1.112712914529306403e+02,-1.799999999999998579e+01
1.130438105402926823e+02,-1.799999999999998579e+01
1.147708884327572179e+02,-1.799999999999998579e+01
1.164512344494713290e+02,-1.799999999999998579e+01
1.180839477851824739e+02,0.000000000000000000e+00
1.196684869650952834e+02,0.000000000000000000e+00
1.212046364232494824e+02,0.000000000000000000e+00
1.226924716046874977e+02,0.000000000000000000e+00
1.241323237853039956e+02,0.000000000000000000e+00
1.255247455825206231e+02,0.000000000000000000e+00
1.268704779117342838e+02,0.000000000000000000e+00
1.270754434671521977e+02,0.000000000000000000e+00
1.271427804084191990e+02,0.000000000000000000e+00
1.270993322092577529e+02,0.000000000000000000e+00
1.269682404176914332e+02,0.000000000000000000e+00
1.269682404176914332e+02,0.000000000000000000e+00
1.293922483336805271e+02,0.000000000000000000e+00
1.317229534288939590e+02,0.000000000000000000e+00
1.339553052744606703e+02,0.000000000000000000e+00
1.360842780419658311e+02,0.000000000000000000e+00
1.381048361338918653e+02,0.000000000000000000e+00
1.400119091495890871e+02,0.000000000000000000e+00
1.400119091495890871e+02,0.000000000000000000e+00
1.428983813384344330e+02,0.000000000000000000e+00
1.435326956971232448e+02,0.000000000000000000e+00
5.685167530297036365e+01,0.000000000000000000e+00
5.858843615829601958e+01,8.400000000000001421e+01
6.039194545040376738e+01,8.400000000000001421e+01
6.226234490999004834e+01,8.400000000000001421e+01
6.419921735529038642e+01,8.400000000000001421e+01
6.620150872314081880e+01,8.400000000000001421e+01
